frequency,amplitude,phase
0.0,0.0005181466,3.1415925
0.01236094,0.000522859,3.1243455
0.02472188,0.0005369899,3.1057067
0.037082817,0.00056125474,3.0837169
0.04944376,0.00059784856,3.048418
0.061804697,0.0006527947,3.0366764
0.074165635,0.0006887486,3.0044653
0.08652657,0.0007583659,2.9651058
0.09888752,0.0008813589,2.8310835
0.111248456,0.00061747886,2.7580764
0.123609394,0.0014719189,2.9734018
0.13597034,0.0012458204,2.2978945
0.14833127,0.00003497494,-2.900995
0.16069221,0.0023822114,2.434346
0.17305315,0.00080593606,1.6503062
0.18541409,0.0006957673,-0.510342
0.19777504,0.0012813709,1.5531725
0.21013597,0.0008921019,1.7042783
0.22249691,0.00036883683,3.003964
0.23485784,0.0013373393,1.284215
0.24721879,0.00087902776,2.4622116
0.25957972,0.0012468874,2.104745
0.27194068,0.0012444217,1.3054928
0.2843016,0.0012922208,0.11629202
0.29666254,0.0012471766,0.23181891
0.3090235,0.00026765236,-0.7348092
0.32138443,0.000782723,2.9880078
0.33374536,0.00047627758,0.4674524
0.3461063,0.0007669909,0.18179308
0.35846725,0.00005375464,-0.35477823
0.37082818,0.0005774619,0.290068
0.3831891,0.000849154,-0.09641337
0.39555007,0.0002710171,0.4405211
0.407911,0.00040195195,-1.2508408
0.42027193,0.00034230924,-0.09912894
0.4326329,0.00039225718,-0.5223576
0.44499382,0.0006412143,-0.08336979
0.45735475,0.00013481262,0.5496628
0.46971568,0.00041837155,0.81031626
0.48207664,0.00008818885,-0.7464238
0.49443758,0.00015103209,1.8127877
0.5067985,0.0001862483,1.525498
0.51915944,0.00013541874,1.1535598
0.53152037,0.00017442362,-0.31578326
0.54388136,0.00015125834,0.6570935
0.5562423,0.00013075676,0.058104724
0.5686032,0.00021278205,0.4953521
0.58096415,0.00019451146,-0.5917472
0.5933251,0.00014746161,-0.20288089
0.605686,0.00013248938,0.13780004
0.618047,0.0001492327,-0.26503506
0.6304079,0.00009132534,0.5262093
0.64276886,0.00009526008,0.07113141
0.6551298,0.00007620862,0.2895545
0.6674907,0.000050484323,0.01599304
0.67985165,0.00006164386,-0.12333038
0.6922126,0.00008036297,-0.21339677
0.7045736,0.00005472154,-0.06651908
0.7169345,0.00007058008,-0.20881362
0.72929543,0.000059716785,-0.031821437
0.74165636,0.000048369722,0.18027897
0.7540173,0.00005662604,-0.12797083
0.7663782,0.00004003836,-0.3376563
0.7787392,0.000042455227,0.20338477
0.79110014,0.000029438534,-0.012822426
0.8034611,0.000038541588,-0.024550887
0.815822,0.00003281481,0.09694606
0.82818294,0.00003368618,0.032883618
0.84054387,0.000041709187,-0.019331567
0.8529048,0.000045227447,0.01735067
0.8652658,0.000044916393,0.050220825
0.8776267,0.000036507285,0.06967082
0.88998765,0.00003560067,-0.016123855
0.9023486,0.000031708438,0.008816068
0.9147095,0.000031238043,-0.09182452
0.92707044,0.00003167842,-0.007860789
0.93943137,0.000030263052,0.09403718
0.95179236,0.000030022316,-0.07600661
0.9641533,0.000029543517,0.13814111
0.9765142,0.0000294275,-0.023188744
0.98887515,0.00002780595,-0.00092119945
1.0012361,0.000028224835,0.04665304
1.013597,0.000026490092,0.057849437
1.025958,0.000027003782,-0.06946392
1.0383189,0.000026008052,-0.070265725
1.0506798,0.000023551915,-0.043181162
1.0630407,0.0000238782,-0.09994598
1.0754018,0.00002292006,-0.03674506
1.0877627,0.000022246013,-0.07936154
1.1001236,0.00002054955,-0.04037176
1.1124846,0.000020497728,-0.06985515
1.1248455,0.000020651127,-0.038178325
1.1372064,0.000020118821,-0.07801748
1.1495674,0.000020459529,-0.057486206
1.1619283,0.000019355484,-0.0768058
1.1742892,0.000018988807,-0.059521355
1.1866502,0.00001913907,-0.052704565
1.1990111,0.000018716528,-0.054848537
1.211372,0.000017827899,-0.093856156
1.223733,0.000018072222,-0.082051374
1.236094,0.000016842914,-0.025712851
1.2484549,0.000016499136,-0.054697443
1.2608159,0.000017151684,-0.07446948
1.2731768,0.000016187756,-0.055710327
1.2855377,0.00001650402,-0.040674746
1.2978987,0.000016192684,-0.05932083
1.3102596,0.000015828951,-0.07443217
1.3226205,0.000015636404,-0.07734638
1.3349814,0.000015020001,-0.071248434
1.3473424,0.000014556416,-0.0887344
1.3597033,0.000014485583,-0.08144422
1.3720642,0.000014166456,-0.0665069
1.3844252,0.000014139165,-0.08297596
1.3967862,0.000013645803,-0.080467544
1.4091471,0.000013760916,-0.05432459
1.4215081,0.000013352558,-0.06125384
1.433869,0.000013269117,-0.047888897
1.4462299,0.000013085563,-0.06296357
1.4585909,0.000012862326,-0.08324684
1.4709518,0.000012757327,-0.06962955
1.4833127,0.000012580795,-0.07294104
1.4956737,0.000012208171,-0.08687103
1.5080346,0.000012072614,-0.078651085
1.5203955,0.000011794221,-0.072251454
1.5327564,0.000011746909,-0.06941595
1.5451174,0.0000115915,-0.06506989
1.5574784,0.00001142105,-0.07739642
1.5698394,0.000011149098,-0.069714606
1.5822003,0.00001115665,-0.06774306
1.5945612,0.000011007627,-0.07835104
1.6069221,0.00001088203,-0.08623394
1.6192831,0.000010880546,-0.07813716
1.631644,0.000010587375,-0.06886227
1.644005,0.000010596585,-0.08602851
1.6563659,0.000010480177,-0.08577035
1.6687268,0.00001021129,-0.084393874
1.6810877,0.000010153815,-0.08288483
1.6934487,0.000010031838,-0.09070538
1.7058096,0.000009916373,-0.08305772
1.7181705,0.0000098195915,-0.085383736
1.7305316,0.0000096720305,-0.082838416
1.7428925,0.000009504582,-0.090152144
1.7552534,0.000009443085,-0.0924164
1.7676144,0.000009335009,-0.09211676
1.7799753,0.000009171758,-0.088478394
1.7923362,0.000009191648,-0.0980297
1.8046972,0.000009055686,-0.08962779
1.8170581,0.000008957475,-0.095148176
1.829419,0.000008847522,-0.09752508
1.84178,0.000008736528,-0.099739045
1.8541409,0.0000086438895,-0.094401695
1.8665018,0.000008532919,-0.10197061
1.8788627,0.000008452937,-0.10059432
1.8912238,0.000008370683,-0.099181086
1.9035847,0.000008233332,-0.10039219
1.9159456,0.000008181891,-0.102196366
1.9283066,0.00000809582,-0.099426314
1.9406675,0.000008050808,-0.09956641
1.9530284,0.00000794036,-0.101242244
1.9653894,0.000007895624,-0.1017943
1.9777503,0.000007801618,-0.10384732
1.9901112,0.000007729205,-0.10253248
2.0024722,0.000007664256,-0.107620254
2.0148332,0.000007548411,-0.10622957
2.027194,0.000007473028,-0.10916498
2.039555,0.0000073980627,-0.10643376
2.051916,0.0000073323527,-0.10842052
2.064277,0.0000072764897,-0.10670177
2.0766377,0.0000072254024,-0.10799592
2.0889988,0.0000071666195,-0.1068962
2.1013596,0.00000707369,-0.10675362
2.1137207,0.000007048141,-0.110709384
2.1260815,0.0000069761622,-0.1083522
2.1384425,0.0000069022935,-0.10909426
2.1508036,0.0000068388026,-0.11187901
2.1631644,0.000006780692,-0.11152305
2.1755254,0.000006711149,-0.10929838
2.1878862,0.000006656788,-0.111768916
2.2002473,0.000006602317,-0.109800234
2.212608,0.000006548344,-0.10949073
2.2249691,0.0000064984997,-0.11103159
2.23733,0.000006446875,-0.110317566
2.249691,0.0000063966727,-0.11052357
2.2620518,0.000006337267,-0.110961154
2.2744129,0.000006287147,-0.108893886
2.2867737,0.000006236658,-0.11368612
2.2991347,0.0000061858914,-0.112597294
2.3114958,0.00000613384,-0.11267757
2.3238566,0.000006081523,-0.11165387
2.3362176,0.000006040104,-0.11186167
2.3485785,0.0000060020075,-0.110347524
2.3609395,0.000005957428,-0.1112271
2.3733003,0.000005914004,-0.11225186
2.3856614,0.0000058817895,-0.112078026
2.3980222,0.0000058307332,-0.111289404
2.4103832,0.000005789746,-0.113284774
2.422744,0.0000057563634,-0.11315256
2.435105,0.0000057062725,-0.11453104
2.447466,0.0000056563117,-0.11421805
2.459827,0.000005623867,-0.11390922
2.472188,0.0000055805003,-0.113561064
2.4845488,0.0000055419296,-0.112863615
2.4969099,0.0000055052037,-0.11213568
2.5092707,0.0000054708034,-0.112550125
2.5216317,0.0000054317175,-0.112926126
2.5339925,0.0000053977456,-0.11379182
2.5463536,0.000005363316,-0.11327497
2.5587144,0.000005326729,-0.113762654
2.5710754,0.0000052930054,-0.11309649
2.5834363,0.000005253055,-0.1139765
2.5957973,0.000005221497,-0.114248425
2.608158,0.0000051867837,-0.113104545
2.6205192,0.000005150342,-0.11269128
2.6328802,0.000005123808,-0.11276227
2.645241,0.000005091225,-0.11277873
2.657602,0.0000050591025,-0.11225554
2.669963,0.000005026489,-0.112265885
2.682324,0.000005000388,-0.11349162
2.6946847,0.0000049697,-0.112826616
2.7070458,0.000004940764,-0.11225384
2.7194066,0.000004908129,-0.11282585
2.7317677,0.000004879477,-0.112338
2.7441285,0.0000048508464,-0.11246979
2.7564895,0.0000048217607,-0.11202689
2.7688503,0.0000047954595,-0.11194796
2.7812114,0.0000047687868,-0.11206611
2.7935724,0.000004740791,-0.1116273
2.8059332,0.000004713307,-0.111012086
2.8182943,0.0000046890223,-0.11121341
2.830655,0.0000046603745,-0.11104596
2.8430161,0.0000046371183,-0.11051358
2.855377,0.000004611102,-0.11045866
2.867738,0.0000045859983,-0.11027042
2.8800988,0.000004562781,-0.10986481
2.8924599,0.0000045381544,-0.109853335
2.9048207,0.0000045130687,-0.109027825
2.9171817,0.000004491134,-0.109054096
2.9295425,0.000004469699,-0.10875217
2.9419036,0.000004445397,-0.10840851
2.9542646,0.0000044239114,-0.1079809
2.9666255,0.0000044025473,-0.10748738
2.9789865,0.00000437947,-0.107410245
2.9913473,0.000004357974,-0.10757912
3.0037084,0.0000043368814,-0.10691809
3.0160692,0.000004316269,-0.10689341
3.0284302,0.0000042948323,-0.10636786
3.040791,0.0000042751067,-0.105807245
3.053152,0.000004254308,-0.105204724
3.065513,0.00000423471,-0.10481082
3.077874,0.0000042155393,-0.10440537
3.0902348,0.000004196406,-0.103995524
3.1025958,0.00000417819,-0.10392675
3.1149569,0.000004159531,-0.103287295
3.1273177,0.0000041413273,-0.10315792
3.1396787,0.000004122997,-0.10266473
3.1520395,0.000004105118,-0.10227439
3.1644006,0.0000040862387,-0.10189042
3.1767614,0.000004068872,-0.101376124
3.1891224,0.000004052054,-0.10108269
3.2014832,0.0000040349773,-0.10052937
3.2138443,0.000004017829,-0.09988918
3.226205,0.000004001841,-0.09969491
3.2385662,0.0000039855586,-0.09923963
3.250927,0.0000039695165,-0.09874843
3.263288,0.0000039540464,-0.09825116
3.2756488,0.000003937916,-0.09793625
3.28801,0.0000039227743,-0.09749207
3.300371,0.000003906984,-0.0969766
3.3127317,0.000003891995,-0.096498154
3.3250928,0.0000038773605,-0.09600609
3.3374536,0.000003862469,-0.09548898
3.3498147,0.0000038480366,-0.09493335
3.3621755,0.000003833981,-0.094488546
3.3745365,0.00000382016,-0.09407334
3.3868973,0.0000038062792,-0.093557104
3.3992584,0.0000037923292,-0.093028575
3.4116192,0.0000037789082,-0.09253808
3.4239802,0.0000037655248,-0.09198536
3.436341,0.0000037520283,-0.09143883
3.448702,0.0000037391344,-0.09099828
3.4610631,0.0000037264335,-0.090348616
3.473424,0.0000037138,-0.08980275
3.485785,0.000003701337,-0.08930288
3.4981458,0.0000036891734,-0.088776425
3.5105069,0.0000036768922,-0.08814333
3.5228677,0.0000036648375,-0.08769905
3.5352287,0.0000036532429,-0.087133
3.5475895,0.0000036413317,-0.08655157
3.5599506,0.0000036299377,-0.08613726
3.5723114,0.0000036184235,-0.08539848
3.5846725,0.000003607294,-0.08489066
3.5970333,0.0000035960888,-0.08422426
3.6093943,0.0000035851535,-0.08365768
3.6217554,0.000003574575,-0.083042
3.6341162,0.00000356384,-0.08245793
3.6464772,0.0000035536527,-0.081847236
3.658838,0.0000035433109,-0.081281535
3.671199,0.000003533025,-0.08068439
3.68356,0.0000035230116,-0.08008488
3.695921,0.0000035129262,-0.07946678
3.7082818,0.00000350317,-0.07892055
3.7206428,0.000003493662,-0.078239106
3.7330036,0.0000034840766,-0.077585824
3.7453647,0.0000034745894,-0.07695705
3.7577255,0.0000034654656,-0.076302595
3.7700865,0.000003456335,-0.075673774
3.7824476,0.0000034472762,-0.07504686
3.7948084,0.0000034384898,-0.074396566
3.8071694,0.0000034297477,-0.07374125
3.8195302,0.0000034211953,-0.073078826
3.8318913,0.0000034127359,-0.07246357
3.844252,0.0000034044074,-0.07178767
3.8566132,0.000003396161,-0.07114035
3.868974,0.0000033880608,-0.070439644
3.881335,0.000003380035,-0.06977565
3.8936958,0.0000033721385,-0.06911312
3.906057,0.000003364367,-0.06842514
3.9184177,0.000003356787,-0.067752175
3.9307787,0.0000033491863,-0.06706349
3.9431398,0.000003341824,-0.06638209
3.9555006,0.0000033345011,-0.06570866
3.9678617,0.0000033273548,-0.06499702
3.9802225,0.0000033202264,-0.06430992
3.9925835,0.0000033132999,-0.06359522
4.0049443,0.0000033063961,-0.06291028
4.0173054,0.0000032995817,-0.062192447
4.0296664,0.0000032930343,-0.061484385
4.042027,0.000003286454,-0.060773715
4.054388,0.0000032800215,-0.060058076
4.066749,0.000003273672,-0.059357066
4.07911,0.000003267471,-0.058628242
4.0914707,0.0000032613489,-0.05791201
4.103832,0.0000032552887,-0.057181552
4.116193,0.0000032493278,-0.05648016
4.128554,0.0000032435287,-0.055748757
4.140915,0.000003237744,-0.055007096
4.1532755,0.000003232182,-0.054267604
4.1656365,0.0000032266016,-0.053534
4.1779976,0.000003221129,-0.052803393
4.1903586,0.0000032157736,-0.05205628
4.202719,0.000003210558,-0.051315535
4.2150803,0.0000032054152,-0.050564088
4.2274413,0.0000032002824,-0.049820095
4.2398024,0.000003195383,-0.049072165
4.252163,0.0000031904617,-0.04830116
4.264524,0.0000031856591,-0.047554497
4.276885,0.0000031809932,-0.046798684
4.289246,0.0000031763732,-0.04605996
4.301607,0.0000031719014,-0.045292266
4.3139677,0.0000031674444,-0.044514794
4.3263288,0.0000031630484,-0.0437534
4.33869,0.0000031588022,-0.042984486
4.351051,0.0000031546535,-0.042225208
4.3634114,0.000003150624,-0.04144513
4.3757725,0.0000031466154,-0.040685352
4.3881335,0.0000031427114,-0.039900444
4.4004946,0.0000031389186,-0.039128218
4.412855,0.00000313511,-0.03834844
4.425216,0.000003131514,-0.03756459
4.4375772,0.0000031279412,-0.036790323
4.4499383,0.000003124416,-0.035990667
4.4622993,0.0000031210286,-0.035230976
4.47466,0.0000031177624,-0.034442782
4.487021,0.0000031145478,-0.033651467
4.499382,0.0000031113568,-0.03285072
4.511743,0.0000031082657,-0.03206177
4.5241036,0.0000031053305,-0.03127257
4.5364647,0.0000031023756,-0.030489806
4.5488257,0.0000030995575,-0.029677764
4.561187,0.000003096749,-0.028878873
4.5735474,0.0000030941505,-0.028089065
4.5859084,0.0000030915319,-0.027273983
4.5982695,0.0000030890826,-0.026476867
4.6106305,0.0000030865947,-0.025685962
4.6229916,0.000003084289,-0.02488234
4.635352,0.0000030819892,-0.024077132
4.647713,0.0000030798178,-0.023262337
4.660074,0.000003077714,-0.02246855
4.6724353,0.0000030756842,-0.021644318
4.684796,0.0000030736376,-0.020826457
4.697157,0.000003071845,-0.020014813
4.709518,0.00000307,-0.01923355
4.721879,0.0000030683004,-0.01838944
4.7342396,0.0000030666392,-0.017623613
4.7466006,0.0000030650951,-0.016781526
4.7589617,0.0000030635551,-0.015984105
4.7713227,0.0000030621568,-0.015157973
4.783684,0.0000030607548,-0.01433081
4.7960443,0.0000030595709,-0.0135099795
4.8084054,0.0000030583174,-0.0127140805
4.8207664,0.000003057219,-0.01187267
4.8331275,0.000003056118,-0.011086335
4.845488,0.000003055207,-0.010255111
4.857849,0.0000030542537,-0.009448123
4.87021,0.0000030535252,-0.0085882675
4.882571,0.0000030526578,-0.0078006973
4.894932,0.0000030520698,-0.0069608134
4.907293,0.0000030513656,-0.0061823404
4.919654,0.0000030509968,-0.0053370283
4.932015,0.0000030504418,-0.0045068376
4.944376,0.0000030501358,-0.0037116683
4.9567366,0.0000030498281,-0.0028760484
4.9690976,0.0000030495953,-0.0020499795
4.9814587,0.0000030494284,-0.001228384
4.9938197,0.0000030493984,-0.00040545414
