frame,x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32
1,0.47095194458961487,-0.10011088848114014,-0.35334813594818115,0.9930639863014221,0.47722357511520386,-0.11161201447248459,-0.33691227436065674,0.9899492263793945,0.4879351258277893,-0.11356449127197266,-0.3368540406227112,0.9901803731918335,0.49888086318969727,-0.11554843932390213,-0.33724117279052734,0.9909234642982483,0.44902247190475464,-0.11044645309448242,-0.3317551016807556,0.989253580570221,0.43901529908180237,-0.11121385544538498,-0.33207398653030396,0.9898966550827026,0.43771106004714966,-0.15380710363388062,-0.3323874771595001,0.9906519651412964,0.5102999210357666,-0.11728198081254959,-0.18036383390426636,0.9878643155097961,0.4302843511104584,-0.13778382539749146,-0.15350356698036194,0.9897061586380005,0.4883139133453369,-0.05466526746749878,-0.2832099199295044,0.9938202500343323,0.4635590612888336,-0.06060671806335449,-0.27601686120033264,0.994321346282959,0.6114067435264587,0.09400904178619385,-0.08275747299194336,0.999484658241272,0.3156506419181824,0.058877646923065186,-0.06347279250621796,0.99946528673172,0.6711891293525696,0.41803306341171265,-0.03389200568199158,0.9922767281532288,0.24397805333137512,0.38341230154037476,-0.022294584661722183,0.9486818313598633,0.7473488450050354,0.7295361757278442,-0.23029644787311554,0.9864234328269958,0.1531919240951538,0.7015475034713745,-0.19277900457382202,0.9421413540840149,0.7808124423027039,0.8212090730667114,-0.28690826892852783,0.9678243398666382,0.11688542366027832,0.7837435007095337,-0.22896365821361542,0.9209781885147095,0.7645387649536133,0.8265441060066223,-0.3636927306652069,0.97138512134552,0.1402835249900818,0.7888587117195129,-0.3292772173881531,0.9283444881439209,0.742548942565918,0.7935736775398254,-0.26567357778549194,0.9745243191719055,0.15864619612693787,0.7623227834701538,-0.23538348078727722,0.9315462112426758,0.5399653315544128,0.6396916508674622,0.011755065992474556,0.9987296462059021,0.3670351505279541,0.6343097686767578,-0.01226220652461052,0.9982739686965942,0.527155339717865,1.0179108381271362,-0.5258314609527588,0.539148211479187,0.413274347782135,1.0301613807678223,-0.5112234950065613,0.5210177898406982,0.5130264163017273,1.4613232612609863,-0.5318719744682312,0.20058079063892365,0.3751010596752167,1.4859583377838135,-0.6416378021240234,0.21540950238704681,0.4980313777923584,1.514588475227356,-0.536359965801239,0.18495085835456848,0.36728307604789734,1.5411269664764404,-0.6584755778312683,0.12949520349502563,0.5199238657951355,1.6247754096984863,-0.7407135367393494,0.158250093460083,0.3984643518924713,1.662832260131836,-0.9082992672920227,0.15428002178668976
2,0.4749588072299957,-0.09114981442689896,0.06427766382694244,0.9914954304695129,0.47775083780288696,-0.11277755349874496,0.01640399545431137,0.9882311224937439,0.4865148961544037,-0.11401931941509247,0.016310840845108032,0.9884958863258362,0.4911584258079529,-0.11573156714439392,0.01594521850347519,0.9896612763404846,0.4676942229270935,-0.10274609178304672,-0.0035866149701178074,0.9873312711715698,0.4650837779045105,-0.1042465791106224,-0.003695886116474867,0.987797737121582,0.463795006275177,-0.11614967882633209,-0.003794411662966013,0.9886117577552795,0.47794103622436523,-0.114720918238163,-0.10171137005090714,0.9861139059066772,0.46071696281433105,-0.10981366038322449,-0.15999561548233032,0.9868468642234802,0.4879170060157776,-0.047505881637334824,0.04330988973379135,0.9920749664306641,0.4700194299221039,-0.04939834773540497,0.017831366509199142,0.9916448593139648,0.3526858985424042,0.08308470249176025,-0.0829741358757019,0.9993358254432678,0.5885841250419617,0.08348914980888367,-0.27638593316078186,0.9991733431816101,0.264894962310791,0.41336435079574585,-0.16671867668628693,0.9912679195404053,0.6824771761894226,0.4435848593711853,-0.21815244853496552,0.9497271180152893,0.19024857878684998,0.7179473042488098,-0.2986162006855011,0.9828792214393616,0.7110829949378967,0.7426422238349915,-0.1793009638786316,0.9374642372131348,0.15711495280265808,0.8152267932891846,-0.3422045111656189,0.960037350654602,0.7224587202072144,0.838767945766449,-0.22656890749931335,0.912074625492096,0.17857252061367035,0.8178611397743225,-0.3698634207248688,0.9626442790031433,0.6920769214630127,0.8467637300491333,-0.2657412886619568,0.9187979698181152,0.20031492412090302,0.7854231595993042,-0.30505919456481934,0.9647818803787231,0.6895288825035095,0.815299391746521,-0.1936211735010147,0.9197267889976501,0.4302609860897064,0.663195013999939,0.062430240213871,0.9985676407814026,0.4967814087867737,0.6867883801460266,-0.06233944371342659,0.9979434609413147,0.4562550187110901,1.1796866655349731,-0.11270441859960556,0.5084071755409241,0.5055924654006958,1.1458300352096558,-0.32084497809410095,0.4979080259799957,0.4742259085178375,1.5280019044876099,-0.08134041726589203,0.18992199003696442,0.4541662335395813,1.4805103540420532,-0.20644550025463104,0.20170582830905914,0.4716675281524658,1.583756923675537,-0.07247252762317657,0.1795830875635147,0.4346625804901123,1.5242412090301514,-0.1876145899295807,0.1263326108455658,0.49751773476600647,1.6168951988220215,-0.18330496549606323,0.14776062965393066,0.49659889936447144,1.56057870388031,-0.2825300991535187,0.14270110428333282
3,0.47512906789779663,-0.11169181019067764,-0.2769250273704529,0.9890010356903076,0.4793566167354584,-0.14575767517089844,-0.2763504683971405,0.984699010848999,0.4880915582180023,-0.14142227172851562,-0.2765585482120514,0.9851100444793701,0.4921663701534271,-0.13771916925907135,-0.2772039771080017,0.9867990612983704,0.4681724011898041,-0.14499971270561218,-0.2855689823627472,0.9834367036819458,0.4639110565185547,-0.1413581520318985,-0.2858768403530121,0.9840803146362305,0.4611550271511078,-0.12970638275146484,-0.2861294150352478,0.9852832555770874,0.48023971915245056,-0.11879631876945496,-0.20659920573234558,0.98089200258255,0.4587630331516266,-0.11144072562456131,-0.2267213761806488,0.9821223616600037,0.4879024624824524,-0.05891793966293335,-0.2386777698993683,0.9901936650276184,0.4698712229728699,-0.060305528342723846,-0.24786308407783508,0.9894618391990662,0.5076960325241089,0.09201981127262115,-0.1401427686214447,0.9992415904998779,0.41588282585144043,0.08260452747344971,-0.23696747422218323,0.9989532232284546,0.5022159814834595,0.4134010970592499,-0.14645712077617645,0.9882189035415649,0.3946821987628937,0.440313458442688,-0.15650132298469543,0.9390999674797058,0.4724488854408264,0.7182196974754333,-0.29167482256889343,0.9699912667274475,0.33137089014053345,0.730135977268219,-0.16541117429733276,0.9107211232185364,0.4815768599510193,0.8163563013076782,-0.34268805384635925,0.9393182992935181,0.30996060371398926,0.8377596139907837,-0.20585855841636658,0.8824819326400757,0.48799586296081543,0.8198423385620117,-0.3922278881072998,0.9446507096290588,0.3196680545806885,0.8404443860054016,-0.2748405337333679,0.8919191360473633,0.4820920526981354,0.7860745191574097,-0.3135697841644287,0.9478616714477539,0.3668155074119568,0.8081821203231812,-0.192986398935318,0.893709659576416,0.4609128534793854,0.6644608974456787,0.05359383299946785,0.9979355931282043,0.46608632802963257,0.6787468791007996,-0.05362758785486221,0.9969174861907959,0.46441107988357544,1.15498948097229,-0.0742475837469101,0.488811731338501,0.45947057008743286,1.1425869464874268,-0.14345887303352356,0.4847680926322937,0.47821521759033203,1.5261776447296143,0.0711972564458847,0.18159140646457672,0.44696012139320374,1.498315453529358,-0.023744288831949234,0.19116534292697906,0.47050800919532776,1.5833452939987183,0.08480433374643326,0.1690550297498703,0.43200549483299255,1.544963002204895,-0.013457122258841991,0.11889097839593887,0.49963515996932983,1.6327353715896606,-0.06756003946065903,0.13967403769493103,0.46942153573036194,1.5901165008544922,-0.18050464987754822,0.13361388444900513
4,0.4750961661338806,-0.06372683495283127,0.3780475854873657,0.9892851114273071,0.4778653085231781,-0.09975818544626236,0.31847473978996277,0.985496997833252,0.4809904098510742,-0.09929843246936798,0.31846821308135986,0.9858365654945374,0.47593188285827637,-0.11891495436429977,0.318036288022995,0.987496554851532,0.47145405411720276,-0.09730236977338791,0.31356674432754517,0.9841984510421753,0.474454402923584,-0.08169172704219818,0.3133488893508911,0.9847211837768555,0.47859111428260803,-0.06848139315843582,0.31325799226760864,0.985802173614502,0.46507367491722107,-0.09991157054901123,0.10978782176971436,0.982247531414032,0.47203493118286133,-0.07479291409254074,0.09341149777173996,0.9830610156059265,0.4831700921058655,-0.04047451913356781,0.318180650472641,0.9904428720474243,0.4732454717159271,-0.025507675483822823,0.31321150064468384,0.9894753098487854,0.34212905168533325,0.09316857904195786,0.025103893131017685,0.9991840124130249,0.601001501083374,0.10943315178155899,-0.13337355852127075,0.9989373683929443,0.25910526514053345,0.41455918550491333,-0.1349484622478485,0.9883242845535278,0.6563389301300049,0.45056968927383423,-0.1283433735370636,0.9432820677757263,0.1908760368824005,0.7169524431228638,-0.18849658966064453,0.968722939491272,0.7151488065719604,0.7555446624755859,-0.029801392927765846,0.9138001799583435,0.15935979783535004,0.8141342997550964,-0.21077032387256622,0.93502277135849,0.7447398900985718,0.8585962057113647,-0.06961242854595184,0.8839040994644165,0.1836664378643036,0.8154987692832947,-0.22349360585212708,0.9389703869819641,0.7395623922348022,0.8611775636672974,-0.07207614928483963,0.8918276429176331,0.19997526705265045,0.7822336554527283,-0.18661543726921082,0.9414876103401184,0.7306574583053589,0.8264650106430054,-0.029368888586759567,0.8918038010597229,0.4137258529663086,0.6716841459274292,0.06426282227039337,0.9977225065231323,0.4888318181037903,0.6742640733718872,-0.06507592648267746,0.9967761635780334,0.41808104515075684,1.1741950511932373,0.05377107858657837,0.4736936092376709,0.4839720129966736,1.1497431993484497,-0.09533166140317917,0.49780991673469543,0.4394487738609314,1.5298421382904053,0.018220290541648865,0.17388711869716644,0.44498586654663086,1.4978716373443604,-0.13555440306663513,0.19141043722629547,0.4395580291748047,1.5891348123550415,0.020247943699359894,0.16503289341926575,0.4258739948272705,1.5446763038635254,-0.1331218183040619,0.12613362073898315,0.4655163288116455,1.6121164560317993,-0.032679516822099686,0.1304464489221573,0.4825258255004883,1.5680406093597412,-0.18913409113883972,0.12689536809921265
5,0.47600722312927246,-0.04515795782208443,0.6238197088241577,0.989868700504303,0.47725653648376465,-0.07733535021543503,0.5628728866577148,0.9865242838859558,0.47796982526779175,-0.09045152366161346,0.5628365278244019,0.9868032336235046,0.4727446436882019,-0.10044589638710022,0.5625369548797607,0.9883838295936584,0.4767341613769531,-0.07393395155668259,0.5614162683486938,0.9852233529090881,0.4804480969905853,-0.06744130700826645,0.5611802935600281,0.9856312274932861,0.48418474197387695,-0.06166891008615494,0.5611929893493652,0.9866076111793518,0.4598103165626526,-0.08209190517663956,0.33098867535591125,0.9837206602096558,0.48452264070510864,-0.05403376370668411,0.3292233645915985,0.9842631816864014,0.4806504249572754,-0.02722087688744068,0.5535075068473816,0.990935742855072,0.4773574769496918,-0.017681516706943512,0.5526489019393921,0.9898489713668823,0.3212541937828064,0.09789632260799408,0.21265225112438202,0.9991932511329651,0.6119874715805054,0.12449822574853897,0.08782114833593369,0.9989843964576721,0.24406269192695618,0.4158015549182892,0.052244674414396286,0.9870043396949768,0.665392279624939,0.451301246881485,0.08553102612495422,0.9461197853088379,0.18249870836734772,0.7105954885482788,-0.013482039794325829,0.9633715152740479,0.7240700721740723,0.7561673521995544,0.1528218537569046,0.9140188097953796,0.14929728209972382,0.807369589805603,-0.025107046589255333,0.9252763986587524,0.7596558332443237,0.8540026545524597,0.12183203548192978,0.8816938996315002,0.17358006536960602,0.8085525035858154,-0.0385565385222435,0.9275104999542236,0.7538739442825317,0.8573187589645386,0.12887625396251678,0.8880555629730225,0.19051973521709442,0.7781086564064026,-0.011004434898495674,0.9283859133720398,0.7350870966911316,0.822858452796936,0.15752431750297546,0.8854620456695557,0.3886682391166687,0.6748841404914856,0.06421655416488647,0.9976487755775452,0.49889808893203735,0.6719104051589966,-0.06537909060716629,0.9967674612998962,0.39690566062927246,1.1708531379699707,0.06381276249885559,0.4726634621620178,0.49205541610717773,1.143405795097351,-0.09482286870479584,0.5219026803970337,0.4165096879005432,1.5785136222839355,-0.07143652439117432,0.1824251264333725,0.44200634956359863,1.5146467685699463,-0.1734042465686798,0.20771577954292297,0.41585755348205566,1.6483055353164673,-0.08142247051000595,0.17249438166618347,0.4198407232761383,1.5654237270355225,-0.1755102574825287,0.14565938711166382,0.4443880617618561,1.6533335447311401,-0.15200762450695038,0.13188102841377258,0.48788776993751526,1.5770697593688965,-0.21603593230247498,0.13066740334033966
6,0.4649994373321533,-0.05120821297168732,-0.3123963475227356,0.9876217842102051,0.4676958918571472,-0.08024375140666962,-0.2947671711444855,0.9819951057434082,0.46952104568481445,-0.09197530150413513,-0.29505619406700134,0.9825977683067322,0.4703669548034668,-0.09897506237030029,-0.2952877879142761,0.9845633506774902,0.45720118284225464,-0.07665082067251205,-0.2828480303287506,0.9801387786865234,0.4573872983455658,-0.07209097594022751,-0.28294700384140015,0.9810338616371155,0.4551875591278076,-0.07253588736057281,-0.28307825326919556,0.9823411107063293,0.4637020230293274,-0.06635119765996933,-0.1582905352115631,0.9767342805862427,0.45188435912132263,-0.05491236224770546,-0.0868007242679596,0.9774049520492554,0.4688968062400818,-0.02618827298283577,-0.2570129930973053,0.9883535504341125,0.45520463585853577,-0.02056100219488144,-0.23843388259410858,0.9867321252822876,0.5291288495063782,0.12812773883342743,-0.12195215374231339,0.9990267753601074,0.35782939195632935,0.14017337560653687,-0.03855878859758377,0.9984923601150513,0.5611183643341064,0.4267512559890747,-0.11697331815958023,0.9793347120285034,0.3088262975215912,0.46038228273391724,0.06388609111309052,0.9250408411026001,0.5754764676094055,0.7190020084381104,-0.23217089474201202,0.9364808797836304,0.2549822926521301,0.7561823725700378,0.046120185405015945,0.8761243224143982,0.5869672298431396,0.8194468021392822,-0.29457026720046997,0.8911789059638977,0.232070654630661,0.8520622253417969,0.0030421740375459194,0.8404314517974854,0.5551809072494507,0.8135926723480225,-0.3581925630569458,0.8983426094055176,0.2648991346359253,0.8578188419342041,-0.12059515714645386,0.8511236906051636,0.4524609446525574,0.7817946672439575,-0.2629801332950592,0.8989110589027405,0.27327895164489746,0.828198254108429,-0.018509717658162117,0.8495133519172668,0.45668062567710876,0.6769506931304932,0.019181635230779648,0.9953761696815491,0.4326326251029968,0.6781383156776428,-0.019326670095324516,0.9932056069374084,0.4751887917518616,1.1520498991012573,-0.04164353385567665,0.47291556000709534,0.41440024971961975,1.1192915439605713,-0.021134834736585617,0.5164090991020203,0.43754783272743225,1.5138808488845825,0.09944627434015274,0.19167344272136688,0.42653265595436096,1.495577096939087,0.07872463017702103,0.21142038702964783,0.4274192750453949,1.5589898824691772,0.11048848927021027,0.16290004551410675,0.415856271982193,1.5372101068496704,0.08318135887384415,0.1382838934659958,0.449789434671402,1.634311318397522,-0.053771354258060455,0.14461833238601685,0.4464903473854065,1.5865503549575806,-0.08915720880031586,0.13974115252494812
7,0.4375530183315277,-0.050642773509025574,-0.3287504315376282,0.9880444407463074,0.4425111711025238,-0.07914630323648453,-0.31028231978416443,0.9823333024978638,0.44915270805358887,-0.08297274261713028,-0.31050100922584534,0.9829885363578796,0.45271968841552734,-0.08386159688234329,-0.31088751554489136,0.9848238229751587,0.43098703026771545,-0.06862618029117584,-0.3019714951515198,0.9804668426513672,0.4277908205986023,-0.06605155766010284,-0.3021581470966339,0.9814360737800598,0.41841211915016174,-0.06472089886665344,-0.3024023175239563,0.9826523065567017,0.4582834243774414,-0.048317354172468185,-0.18303075432777405,0.9772527813911438,0.4145877957344055,-0.039366353303194046,-0.13161136209964752,0.9778624773025513,0.4465422034263611,-0.013746275566518307,-0.2777547836303711,0.9886482954025269,0.43029993772506714,-0.012671365402638912,-0.26428645849227905,0.9870404005050659,0.5527122020721436,0.14421828091144562,-0.14163534343242645,0.9990219473838806,0.3107686936855316,0.16132670640945435,-0.07781650871038437,0.9984419345855713,0.585128128528595,0.4363013207912445,-0.10507412254810333,0.9792501926422119,0.2743866741657257,0.4649224579334259,0.06028824299573898,0.9241499900817871,0.600252091884613,0.7177892327308655,-0.21641798317432404,0.9355341196060181,0.22957304120063782,0.7584725618362427,0.026679718866944313,0.8750045895576477,0.6071034669876099,0.81436687707901,-0.2755783796310425,0.8878536224365234,0.20615537464618683,0.8505560159683228,-0.024379782378673553,0.8373124599456787,0.5863881707191467,0.813261091709137,-0.3544352948665619,0.8964076042175293,0.24091140925884247,0.8575121164321899,-0.14555026590824127,0.8493766784667969,0.5635559558868408,0.7808390259742737,-0.254707396030426,0.8979142904281616,0.25032466650009155,0.825958251953125,-0.037914641201496124,0.849120020866394,0.47109851241111755,0.6765007376670837,0.0027031307108700275,0.99506014585495,0.40093493461608887,0.6785083413124084,-0.0025436650030314922,0.9927879571914673,0.48134392499923706,1.0737354755401611,0.00371944485232234,0.4877212643623352,0.3954891860485077,1.0565166473388672,0.053538840264081955,0.5303326845169067,0.46212515234947205,1.4226502180099487,0.19772711396217346,0.20020562410354614,0.42376717925071716,1.4343334436416626,0.14820674061775208,0.22093212604522705,0.4537288546562195,1.462145447731018,0.21592077612876892,0.15489894151687622,0.4130834639072418,1.4747002124786377,0.15420065820217133,0.13362017273902893,0.4592475891113281,1.5580533742904663,0.07048560678958893,0.15084783732891083,0.4315136969089508,1.5603023767471313,-0.016185984015464783,0.14674875140190125
8,0.41969195008277893,-0.023068012669682503,-0.29233962297439575,0.9891003370285034,0.42462724447250366,-0.04879008233547211,-0.29720988869667053,0.9838353395462036,0.42820239067077637,-0.04753579571843147,-0.2974042594432831,0.9844375252723694,0.4309101104736328,-0.047096289694309235,-0.2976262867450714,0.986107349395752,0.41475072503089905,-0.04697968810796738,-0.29140761494636536,0.9821146726608276,0.4118092656135559,-0.04493837058544159,-0.291545569896698,0.9829976558685303,0.40623003244400024,-0.04318203032016754,-0.2916775345802307,0.9841024875640869,0.43331632018089294,-0.027744125574827194,-0.2732112407684326,0.9791920185089111,0.40250688791275024,-0.019993601366877556,-0.23594462871551514,0.979694664478302,0.4272349774837494,0.0028679354581981897,-0.27641913294792175,0.9896773099899292,0.41594940423965454,0.007168350741267204,-0.26602548360824585,0.9882040619850159,0.45952051877975464,0.16441002488136292,-0.259586364030838,0.999090313911438,0.31550294160842896,0.17798013985157013,-0.22594904899597168,0.9985446333885193,0.4744972288608551,0.4424869418144226,-0.28429368138313293,0.9776999354362488,0.36907947063446045,0.46269887685775757,-0.14911282062530518,0.922407865524292,0.5070873498916626,0.717954695224762,-0.37594959139823914,0.9149429798126221,0.31636419892311096,0.7561110854148865,-0.1374359428882599,0.8610049486160278,0.5248239040374756,0.8084868788719177,-0.4253755509853363,0.856116533279419,0.29368385672569275,0.8473231792449951,-0.16975627839565277,0.8183724284172058,0.50227952003479,0.8132790327072144,-0.4714428782463074,0.8681656122207642,0.2740948796272278,0.8557990193367004,-0.24128417670726776,0.8325368165969849,0.49197912216186523,0.7809002995491028,-0.3984299600124359,0.8703382015228271,0.3186758756637573,0.823157548904419,-0.17103298008441925,0.8325443863868713,0.45938640832901,0.6783266067504883,-0.005351204425096512,0.9952596426010132,0.4076990485191345,0.6795179843902588,0.005229513626545668,0.993131697177887,0.47505396604537964,1.0345377922058105,0.013301876373589039,0.5079660415649414,0.39773955941200256,1.024861216545105,0.04227056726813316,0.5512415766716003,0.4628223776817322,1.3527313470840454,0.16628679633140564,0.2246737778186798,0.439751535654068,1.3755663633346558,0.14058420062065125,0.24958017468452454,0.4612153470516205,1.399337887763977,0.17935344576835632,0.15839442610740662,0.4397163391113281,1.4272605180740356,0.14812873303890228,0.14547841250896454,0.46577420830726624,1.4429770708084106,0.07099541276693344,0.16610834002494812,0.4430409371852875,1.463069200515747,0.03522858768701553,0.16351979970932007
9,0.4131254255771637,-0.021501192823052406,-0.43945741653442383,0.9901273250579834,0.42126473784446716,-0.05153390020132065,-0.4287140369415283,0.9853319525718689,0.4293820261955261,-0.036182500422000885,-0.42900562286376953,0.9858855605125427,0.4361416697502136,-0.03709332272410393,-0.429374635219574,0.9873821139335632,0.4035772681236267,-0.050928935408592224,-0.42234474420547485,0.9837610721588135,0.3974394202232361,-0.04896027594804764,-0.4225807189941406,0.9845635294914246,0.38879552483558655,-0.04731719195842743,-0.422675222158432,0.985544741153717,0.4401540756225586,-0.022537928074598312,-0.30723705887794495,0.9811471700668335,0.38051971793174744,-0.016330111771821976,-0.27345168590545654,0.9815722703933716,0.42676812410354614,0.01921074651181698,-0.38574764132499695,0.9906681776046753,0.4049244821071625,0.017323855310678482,-0.3762578070163727,0.9893319606781006,0.5225284695625305,0.15965308248996735,-0.23575253784656525,0.9991695284843445,0.2995506525039673,0.18764200806617737,-0.18366727232933044,0.9986632466316223,0.5658809542655945,0.44356995820999146,-0.18778713047504425,0.9782862067222595,0.3031594157218933,0.4757872223854065,-0.042533427476882935,0.9266793727874756,0.5967891812324524,0.7164320349693298,-0.17789581418037415,0.918620228767395,0.2842406630516052,0.7559385299682617,-0.04246807470917702,0.8682121634483337,0.6097322702407837,0.8021728992462158,-0.20527049899101257,0.8619430065155029,0.2741128206253052,0.8458259701728821,-0.06745093315839767,0.8267806768417358,0.5896281003952026,0.8037813305854797,-0.2707471549510956,0.8739263415336609,0.28235605359077454,0.8537662029266357,-0.14082586765289307,0.8405958414077759,0.5852845907211304,0.7718725204467773,-0.20236735045909882,0.8764941692352295,0.29948529601097107,0.8212952017784119,-0.07199867069721222,0.8412830829620361,0.4930616021156311,0.6725087761878967,-0.027178030461072922,0.995560884475708,0.3822590708732605,0.6786291003227234,0.02724134922027588,0.9935063719749451,0.5139409303665161,1.015397548675537,0.01100801583379507,0.5416859984397888,0.38296133279800415,1.0186811685562134,0.1317950040102005,0.5802506804466248,0.5160571336746216,1.3455668687820435,0.16963551938533783,0.2666167616844177,0.4099535048007965,1.3290914297103882,0.3174564838409424,0.2752545475959778,0.5160759091377258,1.3845700025558472,0.1859285682439804,0.1707368940114975,0.4229808747768402,1.3642909526824951,0.3356737494468689,0.15642957389354706,0.5146815180778503,1.4800130128860474,0.02701881155371666,0.19561941921710968,0.3992639183998108,1.4669986963272095,0.18813100457191467,0.17901930212974548
10,0.41738224029541016,-0.02129908837378025,-0.4785919785499573,0.9909247756004333,0.4260759949684143,-0.051496993750333786,-0.4638412892818451,0.9864833354949951,0.4335489869117737,-0.042689643800258636,-0.46411943435668945,0.9869967699050903,0.4403553009033203,-0.042487941682338715,-0.4645625948905945,0.9883454442024231,0.4081575870513916,-0.05073552578687668,-0.4548673629760742,0.9850228428840637,0.40190571546554565,-0.048433396965265274,-0.45506301522254944,0.9857577085494995,0.39307039976119995,-0.045753899961709976,-0.4552375376224518,0.9866332411766052,0.44424065947532654,-0.022627415135502815,-0.321331262588501,0.982636034488678,0.3849678635597229,-0.013299441896378994,-0.2777785658836365,0.9830068349838257,0.4309873580932617,0.02125873602926731,-0.41741639375686646,0.9914341568946838,0.4094316363334656,0.01768956147134304,-0.4048220217227936,0.9901979565620422,0.5467059016227722,0.1669788658618927,-0.24488723278045654,0.99921715259552,0.30668118596076965,0.20181840658187866,-0.17124733328819275,0.998725950717926,0.5866568684577942,0.44919320940971375,-0.16842691600322723,0.9796253442764282,0.3012707829475403,0.4890202283859253,-0.030245374888181686,0.9307772517204285,0.6221989393234253,0.7191886901855469,-0.18510302901268005,0.9238342046737671,0.28513941168785095,0.7561296224594116,-0.054492346942424774,0.8750484585762024,0.6358075141906738,0.8023425340652466,-0.22296766936779022,0.8695269227027893,0.2751091718673706,0.8452132940292358,-0.07991550117731094,0.8344922065734863,0.6125911474227905,0.8041666150093079,-0.2866392135620117,0.8811196684837341,0.28771457076072693,0.8525097966194153,-0.15360382199287415,0.8479655981063843,0.6061760187149048,0.772441565990448,-0.2117340862751007,0.8841166496276855,0.30033451318740845,0.8202618360519409,-0.07915980368852615,0.8495438694953918,0.5090580582618713,0.6723005771636963,-0.03061610832810402,0.9957786202430725,0.38492369651794434,0.6798204183578491,0.030711635947227478,0.9938389658927917,0.5260043144226074,1.0200220346450806,0.03571633994579315,0.5616793036460876,0.386806845664978,1.02352774143219,0.0868309885263443,0.59795081615448,0.5233922004699707,1.3588858842849731,0.2730335593223572,0.2735842168331146,0.40158766508102417,1.3528497219085693,0.2920682728290558,0.27599161863327026,0.5222682952880859,1.3991199731826782,0.2976323962211609,0.16703234612941742,0.41431331634521484,1.3894709348678589,0.3125818371772766,0.15214593708515167,0.5202597379684448,1.4893810749053955,0.13933303952217102,0.19467772543430328,0.394286185503006,1.487656831741333,0.15278472006320953,0.1749868094921112
