frame,shoulders,hips,left,right,diagonal_left,diagonal_right
103,0.24329014,0.13807414,0.47252122,0.4811488,0.5009931,0.5205397
104,0.24385196,0.13847889,0.47365907,0.4820085,0.5024036,0.5213483
105,0.24432702,0.13878895,0.47685614,0.4841978,0.50591713,0.52316475
106,0.24436253,0.13913764,0.47670668,0.4851744,0.50536966,0.5246297
107,0.2450673,0.13928223,0.47764948,0.4880612,0.50623953,0.5275629
108,0.24583115,0.13955334,0.47715425,0.48849633,0.50582325,0.52823883
109,0.2463659,0.13975649,0.47498792,0.4882843,0.50426286,0.5277996
110,0.24660772,0.14020298,0.47344697,0.4873756,0.50315434,0.52689683
111,0.24707825,0.14081375,0.47119337,0.4871075,0.5009389,0.5271309
112,0.2475051,0.14078698,0.46811858,0.48715752,0.4972055,0.52804
113,0.24750021,0.1398727,0.46616036,0.4857652,0.49527216,0.52640116
114,0.24719404,0.13914262,0.46304512,0.48172894,0.492327,0.5222781
115,0.2469399,0.13798748,0.4624037,0.47913894,0.49198496,0.51904833
116,0.24668705,0.13701895,0.46162683,0.4781156,0.491337,0.51749784
117,0.24666966,0.13694455,0.46065217,0.47625503,0.49019736,0.5159655
118,0.24662657,0.13730745,0.457323,0.47587773,0.48731184,0.5155087
119,0.2466795,0.13728589,0.45387247,0.47369096,0.48392752,0.5136158
120,0.24565728,0.13686259,0.45183128,0.4721047,0.48174793,0.5119185
121,0.24516921,0.13635802,0.45061934,0.46933594,0.480103,0.509502
122,0.2450466,0.1364978,0.45004776,0.46831825,0.47969165,0.50848633
123,0.24434371,0.13704352,0.45013112,0.4674304,0.4798289,0.5076988
124,0.24390012,0.13737878,0.45012847,0.46635213,0.47991502,0.50667655
125,0.24336728,0.13737541,0.45008937,0.46541333,0.4795972,0.5059456
126,0.24303669,0.13730153,0.45033467,0.46471527,0.479741,0.50527084
127,0.2426233,0.13715763,0.4521054,0.46390605,0.4803966,0.5053332
128,0.24242264,0.13768004,0.45410258,0.46442544,0.4823482,0.50594634
129,0.24257357,0.13782544,0.4557603,0.46480694,0.48345903,0.50684416
130,0.24279828,0.13767627,0.45675704,0.466305,0.4841652,0.50842947
131,0.242802,0.13689527,0.45959026,0.46831796,0.48645598,0.51027405
132,0.24278703,0.13740052,0.46149772,0.46894422,0.48843426,0.5109191
133,0.24319762,0.13762832,0.46349967,0.46905085,0.49031168,0.5112498
134,0.24449688,0.13813217,0.4640593,0.46973547,0.49133727,0.5119918
135,0.24461015,0.1373895,0.4657673,0.47077286,0.49252427,0.5130286
136,0.24446751,0.13792114,0.46702585,0.4730196,0.49368635,0.5153336
137,0.2447696,0.13853201,0.4687748,0.47725898,0.49515375,0.5197731
138,0.24458483,0.1366732,0.4691781,0.4793019,0.49467126,0.5215466
139,0.2449232,0.1370774,0.4691624,0.4799116,0.49453944,0.52249426
140,0.24494097,0.13717586,0.47020572,0.4802445,0.49472356,0.5236171
141,0.24489507,0.13713023,0.47007316,0.47955003,0.49467528,0.5228742
142,0.24469554,0.13680021,0.46811423,0.47743338,0.49234897,0.52116644
143,0.24321723,0.1335161,0.46669647,0.4752295,0.49043036,0.51775825
144,0.2420013,0.13336979,0.46653217,0.4737159,0.4902649,0.5159942
145,0.24209453,0.13402902,0.4660836,0.47266403,0.4907902,0.51445603
146,0.2418415,0.13475744,0.46413946,0.46986747,0.48901722,0.51209474
147,0.24189304,0.1348688,0.46176943,0.46721146,0.48693672,0.509564
148,0.24103658,0.13461153,0.46039382,0.46636403,0.48593727,0.5081484
149,0.24039817,0.13363695,0.45970267,0.4660344,0.48555666,0.50695306
150,0.24016872,0.13324001,0.45902267,0.46583676,0.48537523,0.50607955
151,0.23990351,0.13337776,0.45674193,0.4639182,0.48408732,0.5034746
152,0.2397976,0.13348453,0.45545912,0.46254626,0.48281243,0.5022961
153,0.23978643,0.13369472,0.4542339,0.46191508,0.48216608,0.5013207
154,0.2397613,0.13394728,0.4526679,0.46082348,0.48100662,0.5001238
155,0.23986346,0.13419071,0.4523495,0.46070653,0.48091498,0.4999589
156,0.23983032,0.13423489,0.45204592,0.4606041,0.48077813,0.49973246
157,0.2403087,0.13458979,0.45214307,0.4606054,0.48113057,0.4997815
158,0.24036177,0.1343047,0.45235837,0.46068898,0.48147094,0.49960265
159,0.2400628,0.13490209,0.45249492,0.46091926,0.4817558,0.49986976
160,0.24042074,0.13511743,0.45278504,0.46126625,0.48221004,0.50021404
161,0.24058487,0.13568528,0.4524576,0.46202305,0.48232412,0.50081575
162,0.240217,0.13550784,0.4526441,0.46345973,0.48246574,0.5019799
163,0.24026313,0.13534062,0.4521969,0.4639569,0.48263937,0.501789
164,0.24017705,0.13513276,0.45238072,0.46485254,0.48322332,0.50208765
165,0.24015556,0.1351668,0.4544819,0.4652986,0.48535997,0.5023629
166,0.24042867,0.13512565,0.45654026,0.46689364,0.48732087,0.50386643
167,0.24056284,0.1350815,0.45927012,0.46908095,0.49002528,0.5057708
168,0.24101603,0.1351809,0.46129745,0.4698265,0.4919851,0.5065824
169,0.24127316,0.13590658,0.46172634,0.47013596,0.4929807,0.50670505
170,0.2421801,0.13634805,0.46416208,0.470992,0.49490324,0.50831443
171,0.24287516,0.13720846,0.46538112,0.47251996,0.49625126,0.510126
172,0.2435029,0.13750274,0.46557122,0.47310174,0.49685302,0.510559
173,0.24372338,0.13738413,0.46601623,0.474227,0.497933,0.5109522
174,0.24402344,0.13736582,0.46736827,0.4760454,0.49963126,0.51228476
175,0.24410759,0.13710281,0.46875337,0.47933987,0.50271744,0.5134664
176,0.24427743,0.1356909,0.46855524,0.48084068,0.50339156,0.5133684
177,0.24469098,0.1359952,0.466773,0.47964457,0.5017787,0.51245075
178,0.24502999,0.13655552,0.4628921,0.47887623,0.49798977,0.5122192
179,0.24474758,0.13591595,0.4622224,0.47793198,0.49676144,0.5115553
180,0.2448027,0.13618046,0.45801625,0.47674847,0.49218437,0.5111877
181,0.24388319,0.13558422,0.4589607,0.47632557,0.49143898,0.5118747
182,0.242703,0.13605943,0.46005195,0.4761601,0.4907868,0.5132766
183,0.2399902,0.1352812,0.46102127,0.4754915,0.49024647,0.51298994
184,0.2392545,0.13487913,0.46103802,0.47480512,0.4902407,0.5119988
185,0.23889683,0.134181,0.4600255,0.4738578,0.4886999,0.5112662
186,0.2379914,0.13368142,0.4591863,0.47372738,0.48781663,0.51075447
187,0.23779893,0.13338824,0.45895588,0.4735988,0.48749486,0.5105475
188,0.23712221,0.13351949,0.45844752,0.47340697,0.48683435,0.51042396
189,0.23731832,0.13404027,0.45822033,0.4744742,0.4868094,0.51150894
190,0.23763056,0.13445833,0.45741788,0.47449887,0.48566794,0.5121682
191,0.23784447,0.13436103,0.45538023,0.47474962,0.48423567,0.51190984
192,0.23794824,0.1342186,0.45459005,0.47500232,0.48360497,0.5119789
193,0.23780325,0.13421659,0.45362592,0.47514868,0.48285958,0.5118995
194,0.23841567,0.13463092,0.45443875,0.47558206,0.4837014,0.5125903
195,0.23876972,0.13511086,0.45523217,0.47683948,0.48464534,0.5138752
196,0.23943004,0.13524751,0.45630056,0.477219,0.4853323,0.51478404
197,0.23953947,0.13568142,0.45573637,0.47709048,0.48508114,0.51462084
198,0.23963147,0.1331089,0.45662996,0.47643524,0.48438162,0.51433885
199,0.2403008,0.13295275,0.45935065,0.476872,0.48698646,0.51484215
200,0.24273793,0.13288875,0.4600932,0.4769266,0.4886973,0.5145375
201,0.24470182,0.13418114,0.46048135,0.477371,0.49012515,0.5150536
202,0.2459007,0.13590454,0.46140864,0.4801291,0.49362826,0.5161763
203,0.24697381,0.13603348,0.46300414,0.4803562,0.495017,0.5168584
204,0.24692401,0.1357311,0.46371517,0.4804051,0.49510118,0.5173202
205,0.24719064,0.13710748,0.46437058,0.48007774,0.4964172,0.5170794
206,0.2484032,0.13731632,0.46608254,0.47942066,0.4990646,0.5159051
207,0.25136524,0.13856062,0.46697578,0.4780904,0.5016706,0.51435894
208,0.2533669,0.13740556,0.4680988,0.47614062,0.502704,0.5125586
209,0.2528499,0.13883068,0.46987087,0.47024763,0.5041687,0.5078694
210,0.25139073,0.13811104,0.46986222,0.46389487,0.503578,0.50178224
211,0.2500181,0.13689403,0.47019264,0.46121457,0.5033815,0.4987946
212,0.24840233,0.13682067,0.46970382,0.46032256,0.50218654,0.4982237
213,0.24767412,0.13674243,0.469082,0.45994237,0.5010883,0.49815217
214,0.24779978,0.13666035,0.4692798,0.46024653,0.5003152,0.49937895
215,0.24472252,0.13604294,0.4674297,0.46025512,0.49766585,0.49917445
216,0.24349181,0.13676232,0.46443987,0.4599175,0.49504814,0.49872035
217,0.24075188,0.13687256,0.46109834,0.45929202,0.4909098,0.49845278
218,0.23917693,0.13681215,0.45778647,0.46012893,0.48711964,0.49944413
219,0.23957905,0.13468036,0.4543442,0.46050373,0.48318303,0.4995578
220,0.23984955,0.13638702,0.45226392,0.46112466,0.48200503,0.50026125
221,0.23976208,0.13480054,0.45097423,0.46202838,0.48037022,0.50070524
222,0.23993027,0.13548456,0.4498848,0.4623341,0.47944424,0.5012558
223,0.23990503,0.13449112,0.450186,0.4643573,0.47976056,0.5025901
224,0.23996423,0.13410385,0.45180553,0.46811584,0.48213243,0.5050471
225,0.2402235,0.1338514,0.4526132,0.46879172,0.48302367,0.50549465
226,0.2405685,0.13353945,0.45387894,0.46993548,0.48443145,0.5062861
227,0.24050297,0.13299109,0.4549199,0.4704027,0.48534065,0.50651354
228,0.24057834,0.13322516,0.45450953,0.46997023,0.48482716,0.5063688
229,0.24074504,0.1335276,0.4544604,0.4695501,0.48472467,0.5062273
230,0.2407785,0.1334976,0.45400932,0.46871886,0.4840553,0.5056946
231,0.24116358,0.1334976,0.45420727,0.46812332,0.484064,0.5054262
232,0.24187885,0.13375574,0.4542711,0.46817008,0.48447275,0.50544626
233,0.24121211,0.13375592,0.45450637,0.4668428,0.48451036,0.5042336
234,0.24001913,0.13414611,0.4529168,0.46495277,0.48239246,0.5029617
235,0.23889144,0.13388172,0.45237935,0.4620466,0.4803608,0.50134003
236,0.23801427,0.13437389,0.45191866,0.46066415,0.47993162,0.50006515
237,0.23764491,0.1344184,0.4507251,0.4586588,0.478476,0.4984628
238,0.23730487,0.1346707,0.44806314,0.45462385,0.47597829,0.49477577
239,0.23699172,0.1347911,0.4477341,0.45258114,0.47563872,0.4929016
240,0.23633076,0.1350469,0.44710505,0.45030716,0.47487637,0.49091843
241,0.23578642,0.13497032,0.44637406,0.44673643,0.4736499,0.4879665
242,0.23496616,0.13485208,0.44589052,0.44544235,0.47274905,0.48692295
243,0.23422623,0.13462792,0.44588116,0.44455037,0.47290677,0.48562673
244,0.23375098,0.13456517,0.4454915,0.44378433,0.47282824,0.48448104
245,0.23354973,0.13467382,0.44540575,0.44334617,0.4726951,0.48412403
246,0.23455133,0.13481918,0.44523358,0.44354492,0.47342965,0.48378643
247,0.23550172,0.13528438,0.44527227,0.4440017,0.4741509,0.48403138
248,0.23622844,0.13497043,0.4453425,0.44441375,0.47445256,0.4842315
249,0.23707671,0.13433072,0.44541675,0.444328,0.47448987,0.48410642
250,0.23748682,0.13407509,0.44591385,0.4448011,0.4748184,0.4846634
251,0.23811589,0.13380468,0.44581485,0.44541448,0.47487026,0.4851306
252,0.23852016,0.13379861,0.44691208,0.44624835,0.47581267,0.48608837
253,0.23926324,0.1338679,0.4471486,0.4470686,0.4763197,0.48680517
254,0.24001214,0.13378435,0.44883674,0.44899702,0.47762814,0.48901087
255,0.24100548,0.13408141,0.4498155,0.4504702,0.47896993,0.49037227
256,0.24177733,0.13373126,0.45274478,0.45272177,0.48124057,0.49294427
257,0.24202646,0.1334443,0.45299712,0.45396516,0.48196903,0.4935413
258,0.24216968,0.13291973,0.45263505,0.45468244,0.48244676,0.4931897
259,0.24328046,0.13427341,0.4528724,0.45712435,0.4832317,0.49585813
260,0.24375886,0.13396205,0.455515,0.45891643,0.48560274,0.4975911
261,0.2449184,0.13604416,0.45745158,0.4614295,0.48822653,0.5004532
262,0.24560949,0.13674232,0.45995897,0.4635599,0.49078485,0.5027432
263,0.24537206,0.13762295,0.46273103,0.4658983,0.49350962,0.50514054
264,0.24532709,0.13836722,0.46646768,0.46682766,0.49731854,0.5060427
265,0.24538802,0.13881467,0.46791562,0.46645445,0.49796578,0.50662
266,0.24703652,0.13968907,0.4689503,0.46646416,0.4991467,0.5072926
267,0.24726816,0.1407731,0.47027153,0.46758816,0.5004232,0.5088797
268,0.24748868,0.14094587,0.4710533,0.46886346,0.50135434,0.5100082
269,0.247384,0.14129561,0.47220987,0.47066408,0.5023426,0.51190484
270,0.2473682,0.14141363,0.47226653,0.47140175,0.50284463,0.51220185
271,0.24722697,0.14134753,0.47291818,0.4720236,0.5036788,0.5124862
272,0.24700059,0.14089511,0.47295776,0.47256562,0.5039791,0.5124506
273,0.24672897,0.14023253,0.47278717,0.4736985,0.50412387,0.51280886
274,0.24650337,0.14040728,0.47331056,0.47731936,0.5068001,0.5140313
275,0.24662703,0.14046876,0.47355497,0.4802813,0.5089755,0.51490575
276,0.24677305,0.14047103,0.47489175,0.48392585,0.5103842,0.51816356
277,0.24690539,0.14040229,0.47890627,0.48788977,0.514034,0.5219583
278,0.24691321,0.14055027,0.4799931,0.48787534,0.51457566,0.52249527
279,0.24672101,0.13957287,0.48057634,0.48841593,0.5149702,0.5226343
280,0.24678162,0.13963266,0.481163,0.48901412,0.5150767,0.52367485
281,0.24671854,0.13895269,0.47972834,0.4892913,0.5146927,0.5226321
282,0.24655838,0.1399943,0.47731686,0.48722616,0.51228327,0.52130854
283,0.2455593,0.1398973,0.47581446,0.48651496,0.5107575,0.5204437
284,0.2441729,0.13785653,0.47627804,0.487761,0.51099384,0.5204576
285,0.24417694,0.13852243,0.47740138,0.48943505,0.51299024,0.5213902
286,0.24296364,0.13976283,0.47744092,0.4886591,0.51371396,0.52024525
287,0.24124072,0.13840877,0.4763986,0.4904737,0.51109725,0.5224483
288,0.2381312,0.13570207,0.4776454,0.4928213,0.5107679,0.5240461
289,0.23937422,0.13656881,0.4781467,0.4929518,0.51303136,0.5231184
290,0.2406798,0.13692382,0.4781344,0.48900157,0.5136456,0.519346
291,0.24105029,0.1373071,0.4779574,0.48666757,0.51397145,0.51696295
292,0.24328962,0.13883215,0.47589475,0.48572293,0.51429754,0.51512414
293,0.24475959,0.13670686,0.47505996,0.4847156,0.51333255,0.5137524
294,0.24664456,0.13663019,0.47425383,0.4823118,0.5115965,0.5129758
295,0.24527356,0.13421132,0.47297314,0.48251975,0.509649,0.5123867
296,0.24394207,0.13605885,0.47134218,0.48218814,0.508719,0.51200384
297,0.24000661,0.13570155,0.46894422,0.48014894,0.5048333,0.51052356
298,0.23877758,0.13494787,0.46534884,0.47775504,0.49991307,0.5091453
299,0.23747554,0.13404903,0.46122122,0.47646326,0.4954415,0.5077396
300,0.23459499,0.13355333,0.45457423,0.47103772,0.488412,0.5024571
301,0.23220299,0.132506,0.45054522,0.46707097,0.48305234,0.49919006
302,0.23158546,0.13306454,0.44841897,0.46432704,0.48007625,0.49770468
303,0.23056495,0.13378885,0.4463569,0.46175557,0.47777432,0.49574503
304,0.22933726,0.13360374,0.44421646,0.45896205,0.47550696,0.49299452
305,0.22849159,0.13391645,0.44092467,0.45431533,0.4718567,0.48916918
306,0.22712699,0.13223253,0.43904832,0.45198432,0.46917224,0.4867534
307,0.22753675,0.13251363,0.4379081,0.45088583,0.46730006,0.4867596
308,0.22800334,0.13261905,0.4367009,0.45005012,0.46611366,0.48621225
309,0.22783211,0.13262872,0.4363164,0.44995484,0.46562374,0.4862033
310,0.2271686,0.13138072,0.43646762,0.4498265,0.46559596,0.48548466
311,0.22670701,0.13069034,0.43614155,0.450095,0.46567982,0.48489863
312,0.22682384,0.13078995,0.43562695,0.44941705,0.46551645,0.48404074
313,0.22700396,0.1311735,0.43507937,0.44842193,0.4649477,0.4834078
314,0.22752814,0.13159616,0.43522555,0.4477362,0.4647949,0.48340684
315,0.22785409,0.13176006,0.4352161,0.44701728,0.46485415,0.48285002
316,0.22797784,0.13190737,0.43670094,0.44780093,0.46600428,0.4839199
317,0.22801104,0.1319682,0.43759367,0.44975197,0.46875453,0.48388833
318,0.22836137,0.13187607,0.43841535,0.45068848,0.4705483,0.48380268
319,0.22940543,0.13253544,0.43993655,0.45076913,0.472288,0.48417944
320,0.23103292,0.13321933,0.44098026,0.4507566,0.4736853,0.48453614
321,0.2327782,0.1335173,0.44220757,0.4501561,0.47489583,0.48455444
322,0.23451601,0.13385147,0.44315085,0.44954392,0.4755721,0.48483962
323,0.23675719,0.13392277,0.44374737,0.45079866,0.4762273,0.486555
324,0.23750491,0.13367054,0.4451449,0.452801,0.4775067,0.48851213
325,0.23892902,0.1338629,0.44722006,0.45388535,0.47972757,0.48972654
326,0.23893182,0.13388085,0.45050228,0.45574105,0.48267272,0.49157795
327,0.23976661,0.13416818,0.4532065,0.45801374,0.48540607,0.49384835
328,0.23999575,0.13439344,0.4555238,0.4606955,0.4874414,0.49663326
329,0.24039106,0.13492554,0.45788535,0.4636284,0.48940775,0.49995288
330,0.24110821,0.13488795,0.46187395,0.46750104,0.49334174,0.50352436
331,0.24181351,0.13571091,0.46282482,0.46958888,0.49485305,0.5054309
332,0.24319029,0.13579577,0.46434566,0.47182488,0.49645293,0.50774056
333,0.24328448,0.13612963,0.46676067,0.47412705,0.4987376,0.5100413
334,0.24380718,0.13627544,0.46852985,0.47550222,0.5002178,0.5117042
335,0.24358822,0.13645363,0.47050574,0.47681105,0.5018012,0.5132134
336,0.24376217,0.13648504,0.47005996,0.47594735,0.5017456,0.5121182
337,0.24377134,0.13647589,0.47135702,0.47673178,0.5028957,0.5129116
338,0.24408518,0.13673428,0.4722642,0.47694975,0.5034625,0.5136017
339,0.2438362,0.13668579,0.47445646,0.47965494,0.5053501,0.5161907
340,0.24389227,0.13680702,0.4770185,0.48095232,0.50779593,0.5174324
341,0.24400187,0.13688146,0.47868508,0.48204213,0.50977135,0.51810724
342,0.24406148,0.13723248,0.47944698,0.48240125,0.510619,0.5184926
343,0.24442232,0.13759145,0.47967258,0.48301035,0.51097536,0.519181
344,0.2451912,0.13820532,0.4796284,0.4835766,0.5110719,0.52006435
345,0.24571678,0.13824591,0.4794054,0.48428687,0.5114977,0.5202562
346,0.24648754,0.13828368,0.47992018,0.48630127,0.51334226,0.521003
347,0.24726929,0.1381288,0.4801091,0.4882631,0.5148543,0.5216318
348,0.24727638,0.13809581,0.48002124,0.488698,0.5151842,0.5216102
349,0.24712276,0.13810377,0.47866443,0.48696947,0.5140831,0.5197952
350,0.24697453,0.13870794,0.48075792,0.4866157,0.51454973,0.52121
351,0.2468028,0.13718618,0.47975674,0.48563465,0.51365596,0.5194829
352,0.24657042,0.1372221,0.47928748,0.48412728,0.5132455,0.51800764
353,0.2463064,0.13721916,0.47856095,0.48227945,0.5123499,0.51643085
354,0.24623927,0.1375208,0.47630763,0.48093706,0.51000804,0.5155363
355,0.24607822,0.1374461,0.47812706,0.48171818,0.51155555,0.51634175
356,0.24591789,0.13818952,0.47830573,0.4813594,0.51201874,0.516026
357,0.24583802,0.13826123,0.47954932,0.48143825,0.51375896,0.51553833
358,0.24543242,0.13810292,0.47986308,0.48086086,0.5142251,0.5146429
359,0.24563588,0.13809635,0.4818283,0.48268953,0.51645476,0.51600766
360,0.2453967,0.13660556,0.48304245,0.48429266,0.5176458,0.5166766
361,0.24540494,0.13664852,0.48319852,0.48397687,0.51778585,0.5164098
362,0.24525456,0.1367999,0.4828428,0.48385414,0.5175037,0.51627654
363,0.24516344,0.13661756,0.4798278,0.48230675,0.5157315,0.5136653
364,0.24485122,0.13684438,0.4781179,0.4793369,0.5117572,0.51330066
365,0.24451579,0.13692608,0.47653458,0.4797413,0.51059204,0.5133104
366,0.24448201,0.13700312,0.47612247,0.4793404,0.5090966,0.5140689
367,0.24468566,0.13711604,0.47581235,0.47861648,0.50751644,0.51478
368,0.24490382,0.13681516,0.47520578,0.47885197,0.5051806,0.5166482
369,0.24497636,0.1371565,0.4755073,0.4801061,0.50541604,0.5180378
370,0.24538232,0.13729145,0.47620034,0.48182952,0.5061795,0.519696
371,0.24574138,0.13727863,0.47501677,0.4813483,0.50545084,0.51896167
372,0.2456451,0.13733253,0.47542128,0.4817675,0.5054892,0.519684
373,0.24564445,0.13734657,0.47550786,0.48231938,0.5051084,0.52065074
374,0.24521354,0.1360955,0.47495413,0.4818858,0.5040515,0.52006525
375,0.24517621,0.13669732,0.47506905,0.48240438,0.5042357,0.52074456
376,0.24521786,0.13693339,0.4750702,0.4829764,0.5037078,0.52190715
377,0.24496305,0.13604134,0.47476366,0.48301035,0.5038973,0.52098674
378,0.24508694,0.13688368,0.4747844,0.48365,0.5036088,0.5223037
379,0.24504407,0.13682872,0.47501346,0.48448667,0.50380194,0.5230605
380,0.24514097,0.13752332,0.47437358,0.48552024,0.503934,0.5236468
381,0.24522097,0.1376144,0.4745912,0.48645413,0.5048502,0.5238807
382,0.24478143,0.1384159,0.47476336,0.4844913,0.504596,0.5227405
383,0.24464433,0.13855569,0.4730885,0.4813845,0.5025598,0.5203472
384,0.24398838,0.13845381,0.47087434,0.47749522,0.5002197,0.5167819
385,0.24384403,0.13847522,0.4686954,0.47504425,0.49790162,0.5147495
386,0.24343304,0.13830468,0.46789944,0.4725972,0.49701506,0.51243526
387,0.24330571,0.13832322,0.46658787,0.47100115,0.4957637,0.5109543
